sample;samplename_field;Individual;Individual_ID;replicate_ID;site;elevation;elevation_adj;altitudinal_level;habitat;treeline;Fieldcontrol;plate;sampletype;extract_blank;site_elevation;pH;C_oxid;OM;P_brayll;Ca;Mg;K;Al;CICe;Fe;Mn;Cu;Zn;B;S;N_total;N_NH4;N_NO3
S_9_9_P1;NV_4_II_A;2;NV_4_2;NV_4_2_a;NV;3078;3000;4;forest;below;S_S1_4;P1;S;E_9_12;NV_4;4,64;98,13;222,8;8,54;1,35;0,75;0,29;5,678;8,059;27,12;33,801;0,049;1,957;1,2;81,65;7,805;48,129;0,345
T_T11_P1;;;;;;;;;;;;P1;T;;;;;;;;;;;;;;;;;;;;
S_10_10_P2;MA_1_III_A;3;MA_1_3;MA_1_3_a;MA;3677;3800;1;paramo;above;S_S2_4;P2;S;E_10_12;MA_1;3,5;126,5;287,2;53,04;3,36;0,68;0,5;3,329;7,864;51,77;6,725;0,157;40,47;3,67;42,7;4,163;140,21;0,425
T_T12_P2;;;;;;;;;;;;P2;T;;;;;;;;;;;;;;;;;;;;
S_11_2_P2;MA_1_I_B;1;MA_1_1;MA_1_1_b;MA;3677;3800;1;paramo;above;S_S2_4;P2;S;E_11_12;MA_1;3,5;126,5;287,2;53,04;3,36;0,68;0,5;3,329;7,864;51,77;6,725;0,157;40,47;3,67;42,7;4,163;140,21;0,425
S_11_4_P2;MA_1_III_B;3;MA_1_3;MA_1_3_b;MA;3677;3800;1;paramo;above;S_S2_4;P2;S;E_11_12;MA_1;3,5;126,5;287,2;53,04;3,36;0,68;0,5;3,329;7,864;51,77;6,725;0,157;40,47;3,67;42,7;4,163;140,21;0,425
S_11_8_P2;MA_2_II_A;2;MA_2_2;MA_2_2_a;MA;3380;3300;2;subparamo;above;S_S2_5;P2;S;E_11_12;MA_2;4,4;101,8;231,1;34,85;0,47;0,43;0,49;11,7;13,09;59,37;2,689;0,018;7,046;1,59;97,3;10,45;107,874;1,341
S_11_10_P2;MA_2_IV_A;4;MA_2_4;MA_2_4_a;MA;3380;3300;2;subparamo;above;S_S2_5;P2;S;E_11_12;MA_2;4,4;101,8;231,1;34,85;0,47;0,43;0,49;11,7;13,09;59,37;2,689;0,018;7,046;1,59;97,3;10,45;107,874;1,341
E_1_7_P2;;;;;;;;;;;;P2;E;E_1_7;;;;;;;;;;;;;;;;;;;
N_PCRB6_P2;;;;;;;;;;;;P2;N;;;;;;;;;;;;;;;;;;;;
S_12_1_P2;MA_2_I_B;1;MA_2_1;MA_2_1_b;MA;3380;3300;2;subparamo;above;S_S2_5;P2;S;E_12_6;MA_2;4,4;101,8;231,1;34,85;0,47;0,43;0,49;11,7;13,09;59,37;2,689;0,018;7,046;1,59;97,3;10,45;107,874;1,341
S_1_2_P2;BEL_2_III_A;3;BEL_2_3;BEL_2_3_a;BEL;2950;3000;2;forest;below;S_S2_2;P2;S;E_1_7;BEL_2;4,87;81,73;185,6;11,32;0,24;0,36;0,37;2,741;3,721;88,63;7,344;2,237;2,264;0,75;96,41;4,472;91,911;0
T_T13_P2;;;;;;;;;;;;P2;T;;;;;;;;;;;;;;;;;;;;
